dVal1,dVal2,dVal3,dStd1,dStd2,dStd3,dStdTotal,dCovar12,dCovar13,dCovar23,dPointingErrorH,dPointingErrorV,dPointingErrorD,dAprioriStd1,dAprioriStd2,dAprioriStd3,dAprioriStdTotal,dAprioriCovar12,dAprioriCovar13,dAprioriCovar23,dTemperature,dPressure,dHumidity,
-3519.4722,-5312.0017,591.5742,0.00184145,0.00126464,0.00478623,0.00528188,-2.11586e-06,1.17464e-06,1.7729e-06,3.1621e-05,0.000163496,0.0185997,0.0275538,0.0207889,0.0318833,0.0469887,-0.000386216,4.34598e-05,6.55947e-05,24.4,1026,41.3,
-3538.8281,-5307.3641,591.6316,0.00241586,0.0017219,0.00329037,0.00443033,-3.44723e-06,5.27301e-07,7.9082e-07,0.000101013,0.000105714,0.0163487,0.0275414,0.0208632,0.0319175,0.0470375,-0.000388073,4.37102e-05,6.55544e-05,24.4,1027,41.3,
-3529.2938,-5353.2260,618.2225,0.00141384,0.00111669,0.00501153,0.00532554,-8.76887e-07,1.30957e-06,1.98635e-06,4.1508e-05,0.000186892,0.0215239,0.0277571,0.0208736,0.0320842,0.0472817,-0.000390372,4.55895e-05,6.91501e-05,24.4,1026,41.3,
-3519.5026,-5311.9755,591.5683,0.00510629,0.00341951,0.00503296,0.00794342,-1.69843e-05,1.2874e-06,1.94307e-06,0.000113439,0.000158608,0.0217953,0.0275537,0.020789,0.0318833,0.0469886,-0.000386218,4.34598e-05,6.55937e-05,24.5,1027,41.3,
-3486.7271,-5179.3416,811.6199,0.00108175,0.000857215,0.00470443,0.00490272,-5.36007e-07,1.60661e-06,2.38653e-06,1.44914e-05,0.000136931,0.0151712,0.026955,0.0206726,0.0312622,0.0461655,-0.000368386,5.89227e-05,8.75265e-05,24.5,1027,41.3,
-3506.0064,-5174.7074,811.6923,0.00306921,0.00220624,0.00400332,0.00550582,-5.7019e-06,1.11298e-06,1.6427e-06,5.8785e-05,0.000126067,0.0153977,0.0269433,0.0207457,0.0312968,0.0462149,-0.000370171,5.92639e-05,8.74709e-05,24.5,1026,41.3,
-3496.4244,-5220.5547,838.0030,0.0135923,0.00973811,0.0282087,0.0327919,-0.000109209,5.84871e-05,8.73278e-05,0.000384549,0.000497842,0.0697699,0.0271589,0.0207613,0.0314627,0.04646,-0.000372343,6.10714e-05,9.11864e-05,24.5,1026,41.4,
-3486.7350,-5179.3465,811.6062,0.0067765,0.00490987,0.00714169,0.0110014,-2.68566e-05,3.32107e-06,4.93326e-06,0.000204557,0.000221775,0.0333494,0.0269551,0.0206726,0.0312622,0.0461655,-0.000368387,5.89219e-05,8.75251e-05,24.5,1027,41.3,
-3519.4136,-5312.0045,591.5313,0.00663291,0.00458163,0.00722709,0.0108267,-2.71659e-05,2.54649e-06,3.84352e-06,0.000171931,0.000276136,0.0364503,0.0275538,0.0207886,0.0318832,0.0469885,-0.00038621,4.34559e-05,6.55899e-05,24.5,1027,41.3,
-3538.7560,-5307.3837,591.6388,0.00219541,0.00207898,0.00349352,0.00462025,-5.97454e-07,4.29772e-07,6.44567e-07,5.37764e-05,0.000106054,0.013578,0.0275414,0.0208629,0.0319174,0.0470374,-0.000388066,4.37098e-05,6.55554e-05,24.5,1027,41.3,
-3529.2668,-5353.2741,618.0906,0.00666079,0.00464075,0.012351,0.01478,-2.66217e-05,7.95635e-06,1.20684e-05,0.000213432,0.000281429,0.0399116,0.0277573,0.0208735,0.0320843,0.0472818,-0.000390374,4.55795e-05,6.9136e-05,24.5,1027,41.3,
-3519.4870,-5311.9967,591.5269,0.00510394,0.00340508,0.00461697,0.00767862,-1.70718e-05,1.08778e-06,1.6418e-06,0.000161654,0.000147328,0.0244461,0.0275538,0.0207889,0.0318833,0.0469887,-0.000386218,4.34565e-05,6.55894e-05,24.5,1026,41.3,
-3486.7213,-5179.3450,811.5917,0.00674376,0.00471413,0.00681063,0.0106811,-2.86306e-05,3.20722e-06,4.76417e-06,0.000142627,0.00023516,0.03036,0.026955,0.0206725,0.0312622,0.0461655,-0.000368386,5.89206e-05,8.75235e-05,24.5,1026,41.3,
-3506.0396,-5174.6933,811.6704,0.00304055,0.00300309,0.00558592,0.00703321,-2.83581e-07,1.65778e-06,2.44677e-06,8.40619e-05,0.000174813,0.021907,0.0269432,0.0207458,0.0312969,0.046215,-0.000370174,5.92629e-05,8.74683e-05,24.5,1026,41.3,
-3496.4582,-5220.5456,837.9873,0.00388116,0.0033551,0.00574147,0.00769965,-4.62341e-06,1.87421e-06,2.79837e-06,0.000124588,0.0001359,0.0210149,0.0271589,0.0207614,0.0314627,0.0464601,-0.000372346,6.10708e-05,9.11845e-05,24.5,1026,41.2,
-3486.7442,-5179.3372,811.5944,0.00426688,0.00303241,0.00645514,0.00831087,-1.10937e-05,2.94925e-06,4.38092e-06,0.000142637,0.000216622,0.0285363,0.026955,0.0206726,0.0312622,0.0461655,-0.000368388,5.89212e-05,8.75237e-05,24.5,1026,41.3,
