dynamic_accuracy steamvr; 20211013-223229; x y z w i j k;  frequency = 150
3.912915587425231934e-01 -5.513269305229187012e-01 -1.545727133750915527e+00 9.997425716574422916e-01 -9.451712074363698493e-03 -1.978488710882889828e-02 -5.833495823467457590e-03 3.793473839759826660e-01 -5.400745272636413574e-01 -1.296982407569885254e+00 1.690310222210215929e-02 -1.163735699918139015e-02 9.994791715529125486e-01 -1.646535075150851180e-02
3.912558257579803467e-01 -5.513945817947387695e-01 -1.546613812446594238e+00 9.997405445756371023e-01 -9.729112885397347282e-03 -1.978110781129840609e-02 -5.734746467652961262e-03 3.793260455131530762e-01 -5.399561524391174316e-01 -1.298265814781188965e+00 1.688634420487361565e-02 -1.164377674452902155e-02 9.994902247748075341e-01 -1.653618155542773208e-02
3.913998603820800781e-01 -5.515316128730773926e-01 -1.548208594322204590e+00 9.997316089711878462e-01 -1.051388906375705021e-02 -1.983909242104763340e-02 -5.707644945360601865e-03 3.795873224735260010e-01 -5.398254394531250000e-01 -1.298361182212829590e+00 1.684172210092810262e-02 -1.190527709755356128e-02 9.994808347856189989e-01 -1.646314832399431785e-02
3.915086090564727783e-01 -5.516258478164672852e-01 -1.549473047256469727e+00 9.997246407838529247e-01 -1.091070557997420205e-02 -1.998025966586537000e-02 -5.691579355991130233e-03 3.796337842941284180e-01 -5.397757887840270996e-01 -1.299587845802307129e+00 1.689913471986333182e-02 -1.197224115100153398e-02 9.994620241073525202e-01 -1.676576690737289002e-02
3.918048739433288574e-01 -5.516845583915710449e-01 -1.551362156867980957e+00 9.997204822061301899e-01 -1.136561963968611005e-02 -1.998703154427436054e-02 -5.503347580704169226e-03 3.798120319843292236e-01 -5.395590662956237793e-01 -1.301538467407226562e+00 1.697128588869686525e-02 -1.210978821396053833e-02 9.994566434953877643e-01 -1.756661219555290948e-02
3.922467827796936035e-01 -5.516484975814819336e-01 -1.552381873130798340e+00 9.997114048204729375e-01 -1.179999489677072654e-02 -2.017479827646619095e-02 -5.553561886317002691e-03 3.803371787071228027e-01 -5.394973158836364746e-01 -1.303983807563781738e+00 1.691103443412981383e-02 -1.214759158235544437e-02 9.994802337883841314e-01 -1.685450314229390914e-02
3.926939964294433594e-01 -5.518299341201782227e-01 -1.554805874824523926e+00 9.997102794573952123e-01 -1.233900196777209211e-02 -1.997264026670992135e-02 -5.310692896357588517e-03 3.805079162120819092e-01 -5.394948720932006836e-01 -1.304660201072692871e+00 1.704619145967888397e-02 -1.221272201719532033e-02 9.994737146736749622e-01 -1.752157258753357996e-02
3.922242522239685059e-01 -5.517591238021850586e-01 -1.556872248649597168e+00 9.997028639537827166e-01 -1.271155205335063564e-02 -2.016148014722950188e-02 -5.111158547780375073e-03 3.804707825183868408e-01 -5.395286083221435547e-01 -1.306225180625915527e+00 1.716162728287731407e-02 -1.240891366092211276e-02 9.994555871242151168e-01 -1.763508610285411185e-02
3.917958438396453857e-01 -5.517051815986633301e-01 -1.558568835258483887e+00 9.996900599698209655e-01 -1.313198242860040728e-02 -2.057334940844383550e-02 -4.905227048180846317e-03 3.805055022239685059e-01 -5.393449664115905762e-01 -1.307565331459045410e+00 1.739576906965191461e-02 -1.262275781833877009e-02 9.994594439758546223e-01 -1.762520318535752348e-02
3.920543491840362549e-01 -5.518172979354858398e-01 -1.560320734977722168e+00 9.996977811346092757e-01 -1.297552895218766211e-02 -2.035387319917845994e-02 -4.659131552699184546e-03 3.803745508193969727e-01 -5.390028357505798340e-01 -1.307880640029907227e+00 1.747354551491878821e-02 -1.280497914491278942e-02 9.994532783797550612e-01 -1.777183339154837088e-02
3.921037316322326660e-01 -5.517457127571105957e-01 -1.561566472053527832e+00 9.996935330107825646e-01 -1.315237535641120351e-02 -2.046166197018100402e-02 -4.602911335950066705e-03 3.800849020481109619e-01 -5.391191244125366211e-01 -1.309872508049011230e+00 1.758109173640766756e-02 -1.293477991648030179e-02 9.994430152743730700e-01 -1.831855488243403288e-02
3.920185565948486328e-01 -5.519766807556152344e-01 -1.563592791557312012e+00 9.996845224568084998e-01 -1.379005355993222041e-02 -2.054213031255818292e-02 -4.325834418971576806e-03 3.799711167812347412e-01 -5.390417575836181641e-01 -1.310442805290222168e+00 1.765552012867644543e-02 -1.306962347543434363e-02 9.994490094711619976e-01 -1.854284843023403309e-02
3.921114504337310791e-01 -5.520952343940734863e-01 -1.565141797065734863e+00 9.996817574152757624e-01 -1.390136195307942364e-02 -2.062283832373478995e-02 -4.222508170496308728e-03 3.797058761119842529e-01 -5.390388965606689453e-01 -1.312707901000976562e+00 1.777663988041405102e-02 -1.324294497622147473e-02 9.994234594756347123e-01 -1.868100034398653339e-02
3.920162320137023926e-01 -5.521916747093200684e-01 -1.567132115364074707e+00 9.996772185569336999e-01 -1.436366347131608039e-02 -2.055566130391331750e-02 -4.076348312050271511e-03 3.796078860759735107e-01 -5.389844775199890137e-01 -1.314819574356079102e+00 1.782560970339043885e-02 -1.328493395742357322e-02 9.994105738604942557e-01 -1.940997946942669972e-02
3.918401896953582764e-01 -5.521894097328186035e-01 -1.568724393844604492e+00 9.996703096147752099e-01 -1.477214123382589867e-02 -2.060815071118626829e-02 -4.042660804882427204e-03 3.798428177833557129e-01 -5.389956235885620117e-01 -1.316007733345031738e+00 1.781348443238957649e-02 -1.329747962403977045e-02 9.994063252576708134e-01 -1.920760708187268725e-02
3.918453156948089600e-01 -5.522026419639587402e-01 -1.570430397987365723e+00 9.996760931553715368e-01 -1.438263633339355481e-02 -2.061551988088928047e-02 -3.980820065988939505e-03 3.794360458850860596e-01 -5.390006303787231445e-01 -1.317168951034545898e+00 1.793021340523483914e-02 -1.325859291373188316e-02 9.994243296988446490e-01 -1.966667042826614545e-02
3.916468024253845215e-01 -5.521771907806396484e-01 -1.571639418601989746e+00 9.996660911864845289e-01 -1.503719092533801344e-02 -2.063492991008808800e-02 -3.972792180780232961e-03 3.792384862899780273e-01 -5.388730764389038086e-01 -1.318920254707336426e+00 1.797627830363616314e-02 -1.329585384134253367e-02 9.994086144260969640e-01 -1.984337604424529083e-02
3.912959396839141846e-01 -5.521663427352905273e-01 -1.573091387748718262e+00 9.996611423362579130e-01 -1.517741869921829766e-02 -2.077874751464589553e-02 -3.934784819674082279e-03 3.793399035930633545e-01 -5.385939478874206543e-01 -1.321281194686889648e+00 1.794225979167297577e-02 -1.326687222971870833e-02 9.993915629615115481e-01 -1.980002469942695326e-02
3.914828896522521973e-01 -5.522338747978210449e-01 -1.575176596641540527e+00 9.996638179977810346e-01 -1.498866267286106876e-02 -2.079768143103097669e-02 -3.880039521725984521e-03 3.793328404426574707e-01 -5.384952425956726074e-01 -1.322635412216186523e+00 1.795471306559089097e-02 -1.338101880956311766e-02 9.993793492255158561e-01 -2.028341980533842140e-02
3.915911018848419189e-01 -5.521932244300842285e-01 -1.576559066772460938e+00 9.996572070884708339e-01 -1.552879596203123568e-02 -2.070641092132462571e-02 -3.946155627060207380e-03 3.791156709194183350e-01 -5.385784506797790527e-01 -1.323953747749328613e+00 1.810430726705313659e-02 -1.332513559283309695e-02 9.993891819419297162e-01 -2.038527322783796614e-02
3.922738134860992432e-01 -5.520825386047363281e-01 -1.577666640281677246e+00 9.996512967345638767e-01 -1.593234515314965669e-02 -2.068224622903655149e-02 -3.959774256597846376e-03 3.794792592525482178e-01 -5.385634303092956543e-01 -1.325111389160156250e+00 1.829467085178118624e-02 -1.335554344746825092e-02 9.993816736691475411e-01 -2.050707901264449406e-02
3.918954730033874512e-01 -5.520884990692138672e-01 -1.579152345657348633e+00 9.996522805537797485e-01 -1.583064863963086835e-02 -2.073239224486546003e-02 -3.856907732403006862e-03 3.794593811035156250e-01 -5.388430953025817871e-01 -1.327505350112915039e+00 1.851408682441771369e-02 -1.332493308755062708e-02 9.993869338313815520e-01 -2.081977093801322051e-02
3.915275037288665771e-01 -5.523353815078735352e-01 -1.580285787582397461e+00 9.996417118997185103e-01 -1.616768897896514456e-02 -2.098505025355499806e-02 -3.832123477084295460e-03 3.790647387504577637e-01 -5.387270450592041016e-01 -1.328677058219909668e+00 1.863802215233624493e-02 -1.343430467603073594e-02 9.993902337037269268e-01 -2.090961105248746732e-02
3.917173147201538086e-01 -5.523053407669067383e-01 -1.582953810691833496e+00 9.996356672948757405e-01 -1.627773962891820858e-02 -2.120545372168978690e-02 -3.727156376306689500e-03 3.791982233524322510e-01 -5.387508869171142578e-01 -1.330507993698120117e+00 1.873610299407705085e-02 -1.348267921782529861e-02 9.993779418002558534e-01 -2.111360693702293498e-02
3.919614851474761963e-01 -5.525298118591308594e-01 -1.584654211997985840e+00 9.996280350905576428e-01 -1.663664968938545485e-02 -2.129528971101019366e-02 -3.676109334493111048e-03 3.795031011104583740e-01 -5.387759804725646973e-01 -1.331639051437377930e+00 1.879526079687500462e-02 -1.343959852420912801e-02 9.993716640044471022e-01 -2.114964826453517854e-02
3.922902643680572510e-01 -5.523814558982849121e-01 -1.585133910179138184e+00 9.996158040634861575e-01 -1.713649301814362813e-02 -2.145095924393587011e-02 -3.801024659754261275e-03 3.794940710067749023e-01 -5.388730168342590332e-01 -1.333363294601440430e+00 1.871899584575325431e-02 -1.334315537124367533e-02 9.993863616800453542e-01 -2.111725524467619741e-02
3.924249112606048584e-01 -5.524450540542602539e-01 -1.587035298347473145e+00 9.996251133719186166e-01 -1.678286924280428249e-02 -2.131267080113286028e-02 -3.705151439633446678e-03 3.793738186359405518e-01 -5.386629104614257812e-01 -1.335273742675781250e+00 1.875160528304771826e-02 -1.337433592469440546e-02 9.993680034974770088e-01 -2.151066675453738863e-02
